project,bug_id,claude_line_reported,occurrence_count,matching_line_numbers,status
Chart,26,1062,1,1179,UNIQUE
Chart,25,499,1,338,UNIQUE
Chart,24,119,1,126,UNIQUE
Chart,23,453,1,410,UNIQUE
Chart,22,227,1,231,UNIQUE
Chart,21,150,1,183,UNIQUE
Chart,18,323,1,318,UNIQUE
Chart,17,869,1,886,UNIQUE
Chart,16,732,2,438;488,DUPLICATED
Chart,15,555,1,2214,UNIQUE
Chart,13,467,1,473,UNIQUE
Chart,12,384,1,423,UNIQUE
Chart,11,281,1,275,UNIQUE
Chart,10,62,1,65,UNIQUE
Chart,9,1103,1,889,UNIQUE
Chart,8,124,2,128;144,DUPLICATED
Chart,7,324,2,286;300,DUPLICATED
Chart,6,160,2,136;162,DUPLICATED
Chart,5,393,1,548,UNIQUE
Chart,3,1024,1,844,UNIQUE
Chart,1,1504,2,861;1797,DUPLICATED
Lang,3,541,2,510;570,DUPLICATED
Lang,4,67,1,70,UNIQUE
Lang,5,113,1,127,UNIQUE
Lang,6,88,1,94,UNIQUE
Lang,7,489,2,495;555,DUPLICATED
Lang,8,898,1,1192,UNIQUE
Lang,9,285,1,285,UNIQUE
Lang,10,285,1,285,UNIQUE
Lang,11,257,1,248,UNIQUE
Lang,12,257,1,241,UNIQUE
Lang,14,2837,1,2495,UNIQUE
Lang,15,595,1,627,UNIQUE
Math,2,280,1,295,UNIQUE
Math,3,1066,1,1412,UNIQUE
Math,4,119,1,124,UNIQUE
Math,5,1071,1,1154,UNIQUE
Math,6,195,1,195,UNIQUE
Math,7,382,1,396,UNIQUE
Math,8,161,1,162,UNIQUE
Math,9,199,1,205,UNIQUE
Math,10,963,6,1235;1292;1349;1563;1620;1677,DUPLICATED
Math,11,175,1,183,UNIQUE
Math,12,88,1,89,UNIQUE
Math,13,419,1,240,UNIQUE
Math,14,298,1,229,UNIQUE
Math,16,2044,1,2431,UNIQUE
Math,17,940,1,444,UNIQUE
Math,19,1013,1,481,UNIQUE
Math,20,611,1,475,UNIQUE
