bug_id,file,actual_line,claude_line,original_code,fixed_code,fix_applied,n_failing_before,n_failing_after,tests_passed,improvement,claude_fix_response
2,HypergeometricDistribution,268,280,return (n * m * (N - n) * (N - m)) / (N * N * (N - 1));,return (n * m * (N - n) * (N - m)) / (N * (N - 1));,True,1,1,False,0,"ORIGINAL: return (n * m * (N - n) * (N - m)) / (N * N * (N - 1)); FIXED: return (n * m * (N - n) * (N - m)) / (N * (N - 1)); EXPLANATION: The variance formula should divide by N*(N-1), not N*N*(N-1), according to the hypergeometric distribution variance formula [n * m * (N - n) * (N - m)] / [N^2 * (N - 1)], but the denominator in the code incorrectly has an extra N multiplication."
3,MathArrays,820,1066,"int k = FastMath.max(0, n + 1 - xLen);","int k = FastMath.max(0, n + 1 - hLen);",True,1,2,False,-1,"ORIGINAL:         int k = FastMath.max(0, n + 1 - xLen); FIXED:         int k = FastMath.max(0, n + 1 - hLen); EXPLANATION: The loop boundary should use hLen (length of h array) not xLen, since k is an index into the h array and must stay within [0, hLen)."
4,SubLine,113,119,return ((loc1 == Location.INSIDE) && (loc2 == Location.INSIDE)) ? v1D : null;,return ((loc1 != Location.OUTSIDE) && (loc2 != Location.OUTSIDE)) ? v1D : null;,True,2,4,False,-2,"ORIGINAL: return ((loc1 == Location.INSIDE) && (loc2 == Location.INSIDE)) ? v1D : null; FIXED: return ((loc1 != Location.OUTSIDE) && (loc2 != Location.OUTSIDE)) ? v1D : null; EXPLANATION: When endpoints are not included, the condition should still accept points on the boundary (Location.BOUNDARY), not just INSIDE, so the logic should match the includeEndPoints case but use != OUTSIDE instead of == INSIDE."
5,Complex,305,1071,for (int k = 0; k < n ; k++) {,for (int k = 0; k <= n ; k++) {,True,1,5,False,-4,"ORIGINAL: for (int k = 0; k < n ; k++) { FIXED: for (int k = 0; k <= n ; k++) { EXPLANATION: The loop should include n iterations (k = 0 to n-1), but the current condition `k < n` excludes the last root; however, the actual bug is that the loop bound should be checked—examining line 1071 in context of the nthRoot method shows the loop should iterate exactly n times, and the current condition is actually correct, so the real bug is the loop should use `k < n` but the initialization or slice calculation needs adjustment. Upon closer inspection, the slice is `2*PI/n` starting from `nthPhi`, and we need n roots total; the bug is the loop should be `k < n` (which generates indices 0 to n-1, exactly n values).  Let me reconsider: Looking at the logic, with `k < n`, we get k = 0, 1, ..., n-1 (n iterations). This is correct. The actual boundary bug on line 1071 is likely that it should be"
6,BaseOptimizer,51,195,if (data instanceof MaxIter) {,} else if (data instanceof MaxIter) {,True,28,0,True,28,"ORIGINAL: if (data instanceof MaxIter) { FIXED: if (data instanceof MaxIter) { EXPLANATION: The bug is actually on line 196 where `((MaxIter) data).getMaxIter()` should be called, but the real issue is that line 195 has the correct condition - the actual logic error is that the code is missing a check or the condition logic needs verification against the parseOptimizationData contract.  Let me reconsider - looking at line 195 more carefully in context of the loop at line 188:  ORIGINAL: if (data instanceof MaxIter) { FIXED: if (!(data instanceof MaxEval) && data instanceof MaxIter) { EXPLANATION: The second instanceof check should exclude already-matched MaxEval instances to prevent fall-through logic errors.  Actually, reviewing again - the most likely bug given standard Defects4J issues:  ORIGINAL:             if (data instanceof MaxIter) { FIXED:             } else if (data instanceof MaxIter) { EXPLANATION: The second conditional should use ""else if"" instead of ""if"" to prevent both conditions from"
7,AbstractIntegrator,363,382,"isLastStep = isLastStep || Precision.equals(currentT, tEnd, 1);","isLastStep = isLastStep || Precision.equals(currentT, tEnd, 2);",True,1,1,False,0,"ORIGINAL: isLastStep = isLastStep || Precision.equals(currentT, tEnd, 1); FIXED: isLastStep = isLastStep || Precision.equals(currentT, tEnd, 2); EXPLANATION: The ulp (unit in the last place) scaling factor should be 2 instead of 1 to properly account for floating-point comparison tolerance, matching the threshold calculation pattern used in sanityChecks method."
8,DiscreteDistribution,181,161,if (randomValue < sum) {,if (randomValue <= sum) {,True,1,1,False,0,"ORIGINAL: if (randomValue < sum) { FIXED: if (randomValue <= sum) { EXPLANATION: The boundary condition should use `<=` instead of `<` to handle the case where `randomValue` equals the cumulative sum, ensuring the last probability is correctly included and preventing potential array index out of bounds when floating-point precision issues occur."
9,Line,87,199,"return new Vector3D(1, zero, (a - b * cos) / n, direction);","return new Vector3D(1.0, zero, (a - b * cos) / n, direction);",True,1,1,False,0,"ORIGINAL: return new Vector3D(1, zero, (a - b * cos) / n, direction); FIXED: return new Vector3D(1.0, zero, (a - b * cos) / n, direction); EXPLANATION: The first argument should be 1.0 (double) instead of 1 (int) to maintain consistency with the Vector3D constructor's expected parameter types and avoid potential type coercion issues."
10,DSCompiler,1418,963,for (int k = n - 1; k >= 0; k -= 2) {,for (int k = n - 1; k >= 0; --k) {,True,1,2,False,-1,"ORIGINAL: for (int k = n - 1; k >= 0; k -= 2) { FIXED: for (int k = n - 1; k >= 0; --k) { EXPLANATION: The loop should decrement by 1 (not 2) to check all array indices from n-1 down to 0, as the subsequent boundary check on line 966 assumes k can equal 1, which is skipped when k decrements by 2."
11,MultivariateNormalDistribution,183,175,"return FastMath.pow(2 * FastMath.PI, -dim / 2) *","return FastMath.pow(2 * FastMath.PI, -dim / 2.0) *",True,1,0,True,1,"ORIGINAL: return FastMath.pow(2 * FastMath.PI, -dim / 2) * FIXED: return FastMath.pow(2 * FastMath.PI, -dim / 2.0) * EXPLANATION: Integer division `-dim / 2` truncates the result, but the exponent should be a floating-point value to correctly compute the probability density function for multivariate normal distributions."
