project,bug_id,file,actual_line,claude_line,n_before,n_after,flipped_to_pass,flipped_to_fail,still_failing,n_flipped_to_pass,n_flipped_to_fail,any_flip_to_pass,clean_pass
Chart,26,Axis,1191,1062,22,0,org.jfree.chart.junit.AreaChartTests::testDrawWithNullInfo;org.jfree.chart.junit.BarChart3DTests::testDrawWithNullInfo;org.jfree.chart.junit.BarChartTests::testDrawWithNullInfo;org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo;org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo2;org.jfree.chart.junit.LineChart3DTests::testDrawWithNullInfo;org.jfree.chart.junit.LineChartTests::testDrawWithNullInfo;org.jfree.chart.junit.StackedAreaChartTests::testDrawWithNullInfo;org.jfree.chart.junit.StackedBarChart3DTests::testDrawWithNullInfo;org.jfree.chart.junit.StackedBarChartTests::testDrawWithNullInfo;org.jfree.chart.junit.WaterfallChartTests::testDrawWithNullInfo;org.jfree.chart.plot.junit.CategoryPlotTests::test1654215;org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization3;org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4;org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.LevelRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullInfo;org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests::testDrawWithNullInfo,,,22,0,True,True
Chart,25,StatisticalBarRenderer,258,499,4,4,,,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal;org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical;org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal;org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical,0,0,False,False
Chart,24,GrayPaintScale,126,119,1,0,org.jfree.chart.renderer.junit.GrayPaintScaleTests::testGetPaint,,,1,0,True,True
Chart,23,MinMaxCategoryRenderer,434,453,1,1,,,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testEquals,0,0,False,False
Chart,22,KeyedObjects2D,231,227,6,6,,,org.jfree.data.junit.KeyedObjects2DTests::testGetValueByKey;org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByIndex;org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByKey;org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey;org.jfree.data.junit.KeyedObjects2DTests::testRemoveValue;org.jfree.data.junit.KeyedObjects2DTests::testSetObject,0,0,False,False
Chart,21,DefaultBoxAndWhiskerCategoryDataset,156,150,1,0,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds,,,1,0,True,True
Chart,18,DefaultKeyedValues,318,323,4,2,org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955;org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2,,org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey;org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue,2,0,True,False
Chart,17,TimeSeries,857,869,1,1,,,org.jfree.data.time.junit.TimeSeriesTests::testBug1832432,0,0,False,False
Chart,16,DefaultIntervalCategoryDataset,338,732,8,8,,,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testCloning2;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryIndex;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnCount;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetColumnIndex;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowIndex;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetSeriesIndex;org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testSetCategoryKeys,0,0,False,False
Chart,15,PiePlot,1377,555,1,1,,,org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset,0,0,False,False
Chart,13,BorderArrangement,455,467,1,1,,,org.jfree.chart.block.junit.BorderArrangementTests::testSizingWithWidthConstraint,0,0,False,False
Chart,12,MultiplePiePlot,145,384,1,1,,,org.jfree.chart.plot.junit.MultiplePiePlotTests::testConstructor,0,0,False,False
Chart,11,ShapeUtilities,275,281,1,0,org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualGeneralPaths,,,1,0,True,True
Chart,10,StandardToolTipTagFragmentGenerator,65,62,1,0,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests::testGenerateURLFragment,,,1,0,True,True
Chart,9,TimeSeries,944,1103,1,1,,,org.jfree.data.time.junit.TimeSeriesTests::testBug1864222,0,0,False,False
Chart,8,Week,175,124,1,1,,,org.jfree.data.time.junit.WeekTests::testConstructor,0,0,False,False
