bug,jira_id,jira_url,root_cause,exception
Lang_1,LANG-747,https://issues.apache.org/jira/browse/LANG-747,- org.apache.commons.lang3.math.NumberUtilsTest::TestLang747,"java.lang.NumberFormatException: For input string: ""80000000"""
Lang_3,LANG-693,https://issues.apache.org/jira/browse/LANG-693,- org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss,junit.framework.AssertionFailedError
Lang_4,LANG-882,https://issues.apache.org/jira/browse/LANG-882,- org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882,junit.framework.AssertionFailedError: Incorrect codepoint consumption expected:<3> but was:<0>
Lang_5,LANG-865,https://issues.apache.org/jira/browse/LANG-865,- org.apache.commons.lang3.LocaleUtilsTest::testLang865,java.lang.IllegalArgumentException: Invalid locale format: _GB
Lang_6,LANG-857,https://issues.apache.org/jira/browse/LANG-857,- org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,java.lang.StringIndexOutOfBoundsException: String index out of range: 2
Lang_7,LANG-822,https://issues.apache.org/jira/browse/LANG-822,- org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,junit.framework.AssertionFailedError: Expected NumberFormatException
Lang_8,LANG-818,https://issues.apache.org/jira/browse/LANG-818,- org.apache.commons.lang3.time.FastDateFormat_PrinterTest::testCalendarTimezoneRespected,junit.framework.AssertionFailedError: expected:<2:43PM [IC]T> but was:<2:43PM [PS]T>
Lang_9,LANG-832,https://issues.apache.org/jira/browse/LANG-832,- org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_832,"junit.framework.AssertionFailedError: Expected FDF failure, but got Fri Jan 02 21:00:00 PST 1970 for ['d'd',d3] using d(\p{IsNd}++)"
Lang_10,LANG-831,https://issues.apache.org/jira/browse/LANG-831,- org.apache.commons.lang3.time.FastDateFormat_ParserTest::testLANG_831,"junit.framework.AssertionFailedError: Expected FDF failure, but got Mon Mar 02 21:00:00 PST 1970 for [M E,3  Tue] using (\p{IsNd}++)\s*+(Fri|Friday|Mon|Monday|Sat|Saturday|Sun|Sunday|Thu|Thursday|Tue|Tuesday|Wed|Wednesday)"
Lang_11,LANG-807,https://issues.apache.org/jira/browse/LANG-807,- org.apache.commons.lang3.RandomStringUtilsTest::testLANG807,junit.framework.AssertionFailedError: Message (bound must be positive) must contain 'start'
