project,bug_id,file,actual_line,actual_hits,actual_covered,claude_line_reported,claude_line_verified,line_number_differs,claude_hits,claude_covered,corrected_for_duplicate_line
Chart,26,Axis,1191,28,True,1062,1179,True,0,False,False
Chart,25,StatisticalBarRenderer,258,4,True,499,338,True,2,True,False
Chart,24,GrayPaintScale,126,3,True,119,126,True,3,True,False
Chart,23,MinMaxCategoryRenderer,434,,False,453,410,True,0,False,False
Chart,22,KeyedObjects2D,231,28,True,227,231,True,28,True,False
Chart,21,DefaultBoxAndWhiskerCategoryDataset,156,,False,150,183,True,2,True,False
Chart,18,DefaultKeyedValues,318,4,True,323,318,True,4,True,False
Chart,17,TimeSeries,857,3,True,869,886,True,66,True,False
Chart,16,DefaultIntervalCategoryDataset,338,1,True,732,488,True,26,True,True
Chart,15,PiePlot,1377,,False,555,2214,True,6,True,False
Chart,13,BorderArrangement,455,3,True,467,473,True,0,False,False
Chart,12,MultiplePiePlot,145,6,True,384,423,True,0,False,False
Chart,11,ShapeUtilities,275,31,True,281,275,True,31,True,False
Chart,10,StandardToolTipTagFragmentGenerator,65,2,True,62,65,True,2,True,False
Chart,9,TimeSeries,944,15,True,1103,889,True,60,True,False
Chart,8,Week,175,4,True,124,128,True,118,True,True
Chart,7,TimePeriodValues,300,114,True,324,300,True,114,True,True
Chart,6,ShapeList,111,804,True,160,162,True,75,True,True
Chart,5,XYSeries,542,0,False,393,548,True,10,True,False
Chart,3,TimeSeries,1056,19,True,1024,844,True,0,False,False
Chart,1,AbstractCategoryItemRenderer,1797,41,True,1504,1797,True,41,True,True
Lang,3,NumberUtils,592,,False,541,570,True,47,True,True
Lang,4,LookupTranslator,31,,False,67,70,True,424194,True,False
Lang,5,LocaleUtils,96,27,True,113,127,True,3,True,False
Lang,6,CharSequenceTranslator,95,1042605,True,88,94,True,1176039,True,False
Lang,7,NumberUtils,720,,False,489,495,True,27,True,True
Lang,8,FastDatePrinter,1098,,False,898,1192,True,198587,True,False
Lang,9,FastDateParser,143,117776,True,285,285,False,106310,True,False
Lang,10,FastDateParser,304,938608,True,285,285,False,106712,True,False
Lang,11,RandomStringUtils,243,,False,257,248,True,23,True,False
Lang,12,RandomStringUtils,229,,False,257,241,True,23,True,False
Lang,14,StringUtils,787,,False,2837,2495,True,19,True,False
Lang,15,TypeUtils,675,25,True,595,627,True,317,True,False
Math,2,HypergeometricDistribution,268,1019,True,280,295,True,8,True,False
Math,3,MathArrays,820,,False,1066,1412,True,11,True,False
Math,4,SubLine,113,13,True,119,124,True,6,True,False
Math,5,Complex,305,1,True,1071,1154,True,17,True,False
Math,6,BaseOptimizer,51,371,True,195,195,False,2828,True,False
Math,7,AbstractIntegrator,363,130,True,382,396,True,380041,True,False
Math,8,DiscreteDistribution,181,,False,161,162,True,5395276,True,False
Math,9,Line,87,1,True,199,205,True,26,True,False
Math,10,DSCompiler,1418,,False,963,1235,True,16515,True,True
Math,11,MultivariateNormalDistribution,183,26,True,175,183,True,26,True,False
Math,12,BitsStreamGenerator,18,,False,88,89,True,11347006,True,False
Math,13,AbstractLeastSquaresOptimizer,561,,False,419,240,True,83,True,False
Math,14,AbstractLeastSquaresOptimizer,266,,False,298,229,True,750689,True,False
Math,16,FastMath,81,,False,2044,2431,True,115095,True,False
Math,17,Dfp,1602,,False,940,444,True,565752,True,False
Math,19,CMAESOptimizer,539,,False,1013,481,True,15606,True,False
Math,20,CMAESOptimizer,921,14648,True,611,475,True,15719,True,False
