bug_id,file,actual_line,claude_line,original_code,fixed_code,fix_applied,n_failing_before,n_failing_after,tests_passed,improvement,claude_fix_response
26,Axis,1191,1062,float labely = (float) (dataArea.getY() + dataArea.getHeight(),float labely = (float) (dataArea.getY() + dataArea.getHeight() / 2.0);,True,22,,False,22,"ORIGINAL: float labely = (float) (dataArea.getY() + dataArea.getHeight()                      / 2.0); FIXED: float labely = (float) (dataArea.getY() + dataArea.getHeight() / 2.0); EXPLANATION: The division operator should apply to the entire height, not just be placed after the addition; the parentheses need proper precedence with the addition operator to correctly calculate the center Y position."
25,StatisticalBarRenderer,258,499,"line = new Line2D.Double(highVal, rectY + rectHeight * 0.25,","line = new Line2D.Double(lowVal, rectY + rectHeight * 0.25,",True,4,4,False,0,"ORIGINAL: line = new Line2D.Double(highVal, rectY + rectHeight * 0.25, FIXED: line = new Line2D.Double(lowVal, rectY + rectHeight * 0.25, EXPLANATION: The second error indicator line should start from lowVal (not highVal) to correctly draw the lower error bar cap."
24,GrayPaintScale,126,119,int g = (int) ((value - this.lowerBound) / (this.upperBound,int g = (int) ((v - this.lowerBound) / (this.upperBound,True,1,0,True,1,"ORIGINAL: int g = (int) ((value - this.lowerBound) / (this.upperBound  FIXED: int g = (int) ((v - this.lowerBound) / (this.upperBound  EXPLANATION: The calculation should use the clamped variable `v` instead of the original unclamped `value` to ensure the gray value stays within the valid range [0, 255]."
23,MinMaxCategoryRenderer,434,453,"line = new Line2D.Double(y0, x0, y1, x1);","line = new Line2D.Double(x0, y0, x1, y1);",True,1,1,False,0,"ORIGINAL: line = new Line2D.Double(y0, x0, y1, x1); FIXED: line = new Line2D.Double(x0, y0, x1, y1); EXPLANATION: The coordinates should not be swapped; they should follow the same order as the VERTICAL case (x0, y0, x1, y1) since the Line2D.Double constructor takes coordinates in the same logical order regardless of orientation."
22,KeyedObjects2D,231,227,if (row >= 0) {,if (column >= 0) {,True,6,6,False,0,"ORIGINAL: if (row >= 0) { FIXED: if (column >= 0) { EXPLANATION: The condition should check if `column` is valid (>= 0) before using it to access the object, not `row` which was already validated on line 220."
21,DefaultBoxAndWhiskerCategoryDataset,156,150,else if (minval < this.minimumRangeValue) {,else if (!Double.is,True,1,0,True,1,"ORIGINAL: else if (minval < this.minimumRangeValue) { FIXED: else if (minval < this.minimumRangeValue) { EXPLANATION: The condition should use `>` instead of `<` to properly handle NaN comparisons; when minimumRangeValue is NaN, the comparison `minval < this.minimumRangeValue` will always be false, preventing proper initialization of minimum values.  Wait, let me reconsider. Looking at line 150 more carefully in context:  ORIGINAL: else if (minval < this.minimumRangeValue) { FIXED: else if (minval < this.minimumRangeValue || Double.isNaN(this.minimumRangeValue)) { EXPLANATION: The condition must also check if minimumRangeValue is NaN since NaN comparisons always return false, preventing proper updates when the current minimum is NaN.  Actually, the simplest one-line fix:  ORIGINAL: else if (minval < this.minimumRangeValue) { FIXED: else if (!Double.is"
18,DefaultKeyedValues,318,323,if (index < this.keys.size()) {,if (index <= this.keys.size()) {,True,4,2,False,2,"ORIGINAL: if (index < this.keys.size()) { FIXED: if (index <= this.keys.size()) { EXPLANATION: After removing an element at `index`, the rebuildIndex() should be called when `index` equals the new size (the last element was removed), not only when it's less than the size."
17,TimeSeries,857,869,for (int index = start; index <= end; index++) {,for (int index = start; index <= end && index < this.data.size(); index++) {,True,1,1,False,0,ORIGINAL: for (int index = start; index <= end; index++) { FIXED: for (int index = start; index <= end && index < this.data.size(); index++) { EXPLANATION: The loop needs to check that the index does not exceed the data list size to prevent IndexOutOfBoundsException when the end parameter is greater than or equal to the list size.
16,DefaultIntervalCategoryDataset,338,732,if ((category < 0) || (category >= getCategoryCount())) {,if ((category < 0) || (category > getCategoryCount() - 1)) {,True,8,8,False,0,"ORIGINAL: if ((category < 0) || (category >= getCategoryCount())) { FIXED: if ((category < 0) || (category > getCategoryCount() - 1)) { EXPLANATION: The boundary check should use `>` instead of `>=` to match the valid index range [0, getCategoryCount()-1], consistent with similar checks in setStartValue and setEndValue methods."
15,PiePlot,1377,555,for (int section = 0; section < keys.size(); section++) {,for (int section = 0; section < keys.size(); section++) {,True,1,1,False,0,"ORIGINAL: for (int section = 0; section < keys.size(); section++) { FIXED: for (int section = 0; section <= keys.size(); section++) { EXPLANATION: The loop should use `<=` instead of `<` to include all sections when iterating through the dataset keys, as the boundary condition was off-by-one.  Wait, let me reconsider. Looking at line 555 more carefully in context of the drawPie method, the issue is actually that the loop condition is incorrect. The keys are obtained from `this.dataset.getKeys()` and we iterate with `section` as an index. The correct fix should maintain the `<` operator but ensure proper boundary handling.  ORIGINAL: for (int section = 0; section < keys.size(); section++) { FIXED: for (int section = 0; section < keys.size(); section++) { EXPLANATION: Actually, examining line 555 in drawPie(), the loop is correct as-is; the bug must be in how section is used. Line 555 iterates properly through all keys with the correct boundary `section < keys.size()`."
