bug_id,file,actual_line,claude_line,original_code,fixed_code,fix_applied,n_failing_before,n_failing_after,tests_passed,improvement,claude_fix_response
3,NumberUtils,592,541,if (expPos > -1 && expPos < str.length() - 1) {,if (expPos > -1 && expPos < str.length()) {,True,1,2,False,-1,ORIGINAL: if (expPos > -1 && expPos < str.length() - 1) { FIXED: if (expPos > -1 && expPos < str.length()) { EXPLANATION: The boundary check should be `expPos < str.length()` instead of `expPos < str.length() - 1` to allow substring extraction up to the end of the string without excluding the last character.
4,LookupTranslator,31,67,int max = longest;,"int max = Math.min(longest, input.length() - index);",True,1,1,False,0,"ORIGINAL: public int translate(final CharSequence input, final int index, final Writer out) throws IOException { FIXED: public int translate(final CharSequence input, final int index, final Writer out) throws IOException { EXPLANATION: Line 67 itself is the method signature which is correct; the bug is on line 68 where `int max = longest;` should be `int max = longest;` - actually, the bug is on line 69: `if (index + longest > input.length())` should use `max` instead of recalculating, but the real arithmetic error is that line 69's condition should be `if (index + max > input.length())` to properly bound the subsequence.  Let me reconsider - the bug is on line 68-69. Looking at the logic:  ORIGINAL: int max = longest; FIXED: int max = Math.min(longest, input.length() - index); EXPLANATION: The maximum length should be constrained by both the longest key length and the remaining characters in the input, avoiding the need for the subsequent if-statement and preventing potential index out of bounds errors."
5,LocaleUtils,96,113,"return new Locale(str.substring(0, 2), str.substring(3, 5), str.substring(6));","return new Locale(str.substring(0, 2), str.substring(3, 5), str.substring(5));",True,1,2,False,-1,"ORIGINAL: return new Locale(str.substring(0, 2), str.substring(3, 5), str.substring(6)); FIXED: return new Locale(str.substring(0, 2), str.substring(3, 5), str.substring(5)); EXPLANATION: The substring should start at index 5 (where the second underscore is) to skip it and extract the variant, not at index 6."
6,CharSequenceTranslator,95,88,for (int pt = 0; pt < consumed; pt++) {,for (int pt = 0; pt < consumed && pos < len; pt++) {,True,1,0,True,1,"ORIGINAL: for (int pt = 0; pt < consumed; pt++) { FIXED: for (int pt = 0; pt < consumed && pos < len; pt++) { EXPLANATION: The loop must check that `pos` does not exceed the input length to prevent an ArrayIndexOutOfBoundsException when calling `Character.codePointAt(input, pos)`."
7,NumberUtils,720,489,if (expPos > -1 && expPos < str.length() - 1) {,if (expPos > -1 && expPos < str.length()) {,True,1,2,False,-1,"ORIGINAL: if (expPos > -1 && expPos < str.length() - 1) { FIXED: if (expPos > -1 && expPos < str.length()) { EXPLANATION: The boundary check should allow expPos to equal str.length() - 1 (the last character position) since substring(expPos + 1, str.length()) is valid when expPos is at str.length() - 1."
8,FastDatePrinter,1098,898,int minutes = offset / (60 * 1000) - 60 * hours;,int minutes = (offset / (60 * 1000)) % 60;,True,2,2,False,0,ORIGINAL: int minutes = offset / (60 * 1000) - 60 * hours; FIXED: int minutes = (offset / (60 * 1000)) % 60; EXPLANATION: The original calculation incorrectly subtracts 60 * hours from the total minutes; it should use modulo to get only the minutes component after removing the hours.
9,FastDateParser,143,285,for(int i=0; i<strategies.length;) {,for(int i=0; i<strategies.length; ++i) {,True,2,33,False,-31,"ORIGINAL: for(int i=0; i<strategies.length;) { FIXED: for(int i=0; i<strategies.length; ++i) { EXPLANATION: The loop counter `i` was never incremented, causing an infinite loop; the increment should happen in the for statement rather than relying on the manual increment in the body."
10,FastDateParser,304,285,for(int i=0; i<strategies.length;) {,for(int i=0; i<strategies.length; ++i) {,True,2,33,False,-31,"ORIGINAL: for(int i=0; i<strategies.length;) { FIXED: for(int i=0; i<strategies.length; ++i) { EXPLANATION: The loop counter `i` must be incremented in the for statement to prevent an infinite loop, since the post-increment inside the loop body accesses `matcher.group(i)` which uses the pre-incremented value."
11,RandomStringUtils,243,257,int gap = end - start;,int gap = end - start;,True,1,1,False,0,"ORIGINAL: int gap = end - start; FIXED: int gap = end - start;  Let me reconsider. Looking at line 257 more carefully in context with how `gap` is used:  On line 261: `ch = (char) (random.nextInt(gap) + start);` On line 263: `ch = chars[random.nextInt(gap) + start];`  The issue is that when `chars` is not null, `end` is set to `chars.length` (line 251), and `gap` should represent the valid range. However, when indexing into the `chars` array, the gap calculation is wrong because it should be `end - start` which gives the length, but then we're adding `start` to the random index which is incorrect for array indexing.  Actually, re-reading: the bug on line 257 is likely that `gap` should include the endpoint. When `end - start` is calculated and then used with `random.nextInt(gap)`, it should be `gap = end - start` but this doesn't account for inclusive ranges properly. Looking at the logic, `gap`"
12,RandomStringUtils,229,257,int gap = end - start;,int gap = end - start + 1;,True,2,3,False,-1,"ORIGINAL: int gap = end - start; FIXED: int gap = end - start + 1; EXPLANATION: The gap calculation is off by one; it should include both the start and end positions, so the range should be (end - start + 1) instead of (end - start)."
14,StringUtils,787,2837,while (pos < strLen - closeLen) {,while (pos <= strLen - closeLen) {,True,1,1,False,0,"ORIGINAL: while (pos < strLen - closeLen) { FIXED: while (pos <= strLen - closeLen) { EXPLANATION: The boundary condition should use `<=` instead of `<` to allow processing when `pos` equals `strLen - closeLen`, ensuring the last potential substring between delimiters is not missed."
15,TypeUtils,675,595,for (int i = 0; i < typeParams.length; i++) {,for (int i = 0; i < typeArgs.length; i++) {,True,2,2,False,0,ORIGINAL: for (int i = 0; i < typeParams.length; i++) { FIXED: for (int i = 0; i < typeArgs.length; i++) { EXPLANATION: The loop should iterate over typeArgs (actual type arguments) rather than typeParams (type parameters) to avoid an ArrayIndexOutOfBoundsException when typeArgs.length < typeParams.length.
