project,bug_id,file,actual_line,claude_line,actual_hits,claude_hits,actual_covered,claude_covered,file_coverage_pct
Chart,26,Axis,1191,1062,28,90,True,True,88.6
Chart,25,StatisticalBarRenderer,258,499,4,,True,False,69.5
Chart,24,GrayPaintScale,126,119,3,,True,False,96.0
Chart,23,MinMaxCategoryRenderer,434,453,,0,False,False,44.2
Chart,22,KeyedObjects2D,231,227,28,28,True,True,80.6
Chart,21,DefaultBoxAndWhiskerCategoryDataset,156,150,,18,False,True,84.5
Chart,18,DefaultKeyedValues,318,323,4,478,True,True,90.2
Chart,17,TimeSeries,857,869,3,,True,False,76.0
Chart,16,DefaultIntervalCategoryDataset,338,732,1,,True,False,73.9
Chart,15,PiePlot,1377,555,,,False,False,79.9
Chart,13,BorderArrangement,455,467,3,,True,False,63.3
Chart,12,MultiplePiePlot,145,384,6,,True,False,31.6
Chart,11,ShapeUtilities,275,281,31,0,True,False,41.1
Chart,10,StandardToolTipTagFragmentGenerator,65,62,2,,True,False,100.0
Chart,9,TimeSeries,944,1103,15,,True,False,76.1
Chart,8,Week,175,124,4,,True,False,48.8
Chart,7,TimePeriodValues,300,324,114,159,True,True,89.3
Chart,6,ShapeList,111,160,804,72,True,True,93.1
Chart,5,XYSeries,542,393,0,,False,False,76.7
Chart,3,TimeSeries,1056,1024,19,,True,False,79.7
Chart,1,AbstractCategoryItemRenderer,1797,1504,41,,True,False,55.4
Lang,3,NumberUtils,592,541,,,False,False,98.1
Lang,4,LookupTranslator,31,67,,,False,False,100.0
Lang,5,LocaleUtils,96,113,27,,True,False,100.0
Lang,6,CharSequenceTranslator,95,88,1042605,10633,True,True,93.3
Lang,7,NumberUtils,720,489,,,False,False,97.6
Lang,8,FastDatePrinter,1098,898,,,False,False,94.0
Lang,9,FastDateParser,143,285,117776,108189,True,True,94.5
Lang,10,FastDateParser,304,285,938608,110052,True,True,93.1
Lang,11,RandomStringUtils,243,257,,7077,False,True,98.2
Lang,12,RandomStringUtils,229,257,,,False,False,94.2
Lang,14,StringUtils,787,2837,,,False,False,98.0
Lang,15,TypeUtils,675,595,25,,True,False,68.2
Math,2,HypergeometricDistribution,268,280,1019,8,True,True,97.3
Math,3,MathArrays,820,1066,,,False,False,85.5
Math,4,SubLine,113,119,13,12,True,True,100.0
Math,5,Complex,305,1071,1,2,True,True,95.6
Math,6,BaseOptimizer,51,195,371,2828,True,True,96.2
Math,7,AbstractIntegrator,363,382,130,2,True,True,96.9
Math,8,DiscreteDistribution,181,161,,5395276,False,True,85.0
Math,9,Line,87,199,1,,True,False,82.6
Math,10,DSCompiler,1418,963,,167989,False,True,100.0
Math,11,MultivariateNormalDistribution,183,175,26,,True,False,83.1
Math,12,BitsStreamGenerator,18,88,,11392169,False,True,39.6
Math,13,AbstractLeastSquaresOptimizer,561,419,,,False,False,76.5
Math,14,AbstractLeastSquaresOptimizer,266,298,,,False,False,100.0
Math,16,FastMath,81,2044,,,False,False,97.7
Math,17,Dfp,1602,940,,,False,False,90.8
Math,19,CMAESOptimizer,539,1013,,,False,False,89.4
Math,20,CMAESOptimizer,921,611,14394,,True,False,89.7
