project,bug_id,tier,file,hint,mutation_type,reported_line,original_bug_line,result,response
Math,1,1,BigFraction.java,an arithmetic expression error,operator_swap,,305,none,max retries exceeded
Math,1,2,BigFraction.java,an arithmetic expression error,operator_swap,,305,none,max retries exceeded
Math,2,1,HypergeometricDistribution.java,an arithmetic expression error,operator_swap,,268,none,max retries exceeded
Math,2,2,HypergeometricDistribution.java,an arithmetic expression error,operator_swap,280,268,wrong,"LINE: 280  REASON: The variance formula uses `(N * N * (N - 1))` in the denominator when it should use `(N * N * (N - 1))` but the actual mathematical formula for hypergeometric variance requires `N²(N-1)` in denominator, and the numerator calculation `(n * m * (N - n) * (N - m))` is missing a division - it should be `(n * m * (N - n) * (N - m)) / (N² * (N - 1))` but the current code has the wrong operator precedence making it `(n * m * (N - n) * (N - m)) / (N * N * (N - 1))` which evaluates incorrectly due to missing parentheses around `N * N`.  Actually, re-examining: LINE 280 has `(N * N * (N - 1))` but should be `(N * N * (N - 1))` - the actual bug is that it's missing division by the population size again; it should be `(n * m *"
Math,3,1,MathArrays.java,a boundary or range handling error,off_by_one,1281,820,wrong,"LINE: 1281  REASON: The loop condition `while (k < hLen && j >= 0)` should be `while (k < hLen && j < xLen)` because `j` is decremented and represents an index into the `x` array, so it must stay within bounds `[0, xLen)` rather than just being non-negative."
Math,3,2,MathArrays.java,a boundary or range handling error,off_by_one,1066,820,wrong,"LINE: 1066  REASON: The loop condition should be `i <= lenMinusOne` instead of `i < lenMinusOne` to process all required elements when computing the linear combination, as the final element at index `lenMinusOne` is never processed in the accumulation."
Math,4,1,SubLine.java,a logic error,,125,113,wrong,LINE: 125  REASON: The logic incorrectly checks if `loc1 == Location.INSIDE` when it should check `loc1 != Location.OUTSIDE` to properly handle boundary cases when `includeEndPoints` is false.
Math,4,2,SubLine.java,a logic error,,119,113,wrong,"LINE: 119 REASON: The condition should check `(loc1 != Location.OUTSIDE) && (loc2 != Location.OUTSIDE)` for the case when `includeEndPoints` is false, but instead it checks `(loc1 == Location.INSIDE) && (loc2 == Location.INSIDE)`, which incorrectly excludes points on the boundaries even when they should be valid intersections.  Wait, let me reconsider. Looking at the logic more carefully:  When `includeEndPoints` is true: returns point if both locations are not OUTSIDE (correct - includes INSIDE and boundaries) When `includeEndPoints` is false: returns point if both locations are INSIDE (correct - excludes boundaries)  Actually, reviewing the condition again at line 119, the logic appears correct for excluding endpoints. Let me check line 117-118 more carefully.  The bug is actually on the condition that should be checking whether the point lies within both sub-lines' remaining regions. The logic error is that when `includeEndPoints` is false, it should still allow points that are INSIDE, but the current implementation at line 119"
Math,5,1,Complex.java,a boundary or range handling error,off_by_one,1,305,wrong,"LINE: 1140  REASON: The loop condition `for (int k = 0; k < n ; k++)` should be `k <= n` or the condition should be `k < n` with proper boundary handling, as the current code only generates n-1 roots instead of n roots when the loop should include all n roots from k=0 to k=n-1, but the issue is that the loop should iterate n times and currently may not handle the boundary correctly for the last root.  Actually, let me reconsider. Looking at line 1140 more carefully:  ```java for (int k = 0; k < n ; k++) { ```  This loop runs from k=0 to k=n-1, which is correct for n iterations. However, examining the loop logic and the problem statement about boundary/range handling, the issue is likely in how `innerPart` is being managed or the loop termination.   Upon closer inspection, the bug is at line 1140 where `k < n` should be `k <= n` or there's an off-by-one error in the iteration count.  LINE: 1"
Math,5,2,Complex.java,a boundary or range handling error,off_by_one,1071,305,wrong,"LINE: 1071  REASON: The loop condition uses `k < n` but should use `k <= n` to correctly compute all n-th roots; with the current condition, when `k` reaches `n-1`, the loop terminates before computing the final root at `k = n-1`.  Wait, let me reconsider. Actually, looking at the loop more carefully:  ```java for (int k = 0; k < n ; k++) { ```  This iterates k from 0 to n-1, which gives n iterations total - this is correct for computing n roots.  Let me re-examine the boundary issue. Looking at the `tan()` method around line 1020:  ```java if (imaginary > 20.0) {     return createComplex(0.0, 1.0); } if (imaginary < -20.0) {     return createComplex(0.0, -1.0); } ```  The issue is that these conditions should use `>=` and `<=` instead of `>` and `<` to properly handle the boundary case when imag"
