bug_id,project,file,full_path,original_bug_line,tier3_mutation_type,tier3_mutation_line,tier4_mutation_line,has_tier5
Chart_1,Chart,AbstractCategoryItemRenderer.java,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,1797,off_by_one,829,829,yes
Chart_10,Chart,StandardToolTipTagFragmentGenerator.java,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,65,operator_swap,65,65,yes
Chart_2,Chart,DatasetUtilities.java,org/jfree/data/general/DatasetUtilities.java,754,off_by_one,231,231,yes
Chart_3,Chart,TimeSeries.java,org/jfree/data/time/TimeSeries.java,1056,off_by_one,484,484,yes
Chart_4,Chart,XYPlot.java,org/jfree/chart/plot/XYPlot.java,4492,off_by_one,879,879,yes
Chart_5,Chart,XYSeries.java,org/jfree/data/xy/XYSeries.java,542,off_by_one,404,404,yes
Chart_6,Chart,ShapeList.java,org/jfree/chart/util/ShapeList.java,111,off_by_one,113,136,yes
Chart_7,Chart,TimePeriodValues.java,org/jfree/data/time/TimePeriodValues.java,300,off_by_one,347,347,yes
Chart_8,Chart,Week.java,org/jfree/data/time/Week.java,175,operator_swap,208,208,yes
Chart_9,Chart,TimeSeries.java,org/jfree/data/time/TimeSeries.java,944,off_by_one,393,393,yes
Lang_1,Lang,NumberUtils.java,org/apache/commons/lang3/math/NumberUtils.java,466,off_by_one,468,783,yes
Lang_10,Lang,FastDateParser.java,org/apache/commons/lang3/time/FastDateParser.java,304,off_by_one,285,285,yes
Lang_11,Lang,RandomStringUtils.java,org/apache/commons/lang3/RandomStringUtils.java,243,operator_swap,241,241,yes
Lang_12,Lang,RandomStringUtils.java,org/apache/commons/lang3/RandomStringUtils.java,229,operator_swap,241,235,yes
Lang_13,Lang,SerializationUtils.java,org/apache/commons/lang3/SerializationUtils.java,238,,,,yes
Lang_14,Lang,StringUtils.java,org/apache/commons/lang3/StringUtils.java,787,off_by_one,227,227,yes
