bug_id,file,actual_line,claude_line,actual_hits,claude_hits,actual_covered,claude_covered,actual_rank_pct,claude_rank_pct,file_coverage_pct
1,AbstractCategoryItemRenderer,1797,1504,41,,True,False,85.5,,55.4
3,TimeSeries,1056,1024,19,,True,False,71.3,,79.7
5,XYSeries,542,393,0,,False,False,23.3,,76.7
6,ShapeList,111,160,804,72,True,True,100.0,75.9,93.1
7,TimePeriodValues,300,324,114,159,True,True,88.1,98.7,89.3
8,Week,175,124,4,,True,False,77.8,,48.8
9,TimeSeries,944,1103,15,,True,False,70.9,,76.1
10,StandardToolTipTagFragmentGenerator,65,62,2,,True,False,100.0,,100.0
11,ShapeUtilities,275,281,31,0,True,False,74.6,58.9,41.1
12,MultiplePiePlot,145,384,6,,True,False,94.7,,31.6
13,BorderArrangement,455,467,3,,True,False,47.2,,63.3
15,PiePlot,1377,555,,,False,False,,,79.9
16,DefaultIntervalCategoryDataset,338,732,1,,True,False,41.0,,73.9
17,TimeSeries,857,869,3,,True,False,44.1,,76.0
18,DefaultKeyedValues,318,323,4,478,True,True,45.9,,90.2
21,DefaultBoxAndWhiskerCategoryDataset,156,150,,18,False,True,,98.8,84.5
22,KeyedObjects2D,231,227,28,28,True,True,71.0,71.0,80.6
23,MinMaxCategoryRenderer,434,453,,0,False,False,,,44.2
24,GrayPaintScale,126,119,3,,True,False,48.0,,96.0
25,StatisticalBarRenderer,258,499,4,,True,False,74.1,,69.5
26,Axis,1191,1062,28,90,True,True,53.7,78.9,88.6
