project,bug_id,tier,file,hint,mutation_type,reported_line,original_bug_line,result,response
Chart,26,1,Axis.java,an arithmetic expression error,operator_swap,,1191,malformed,"I need to analyze this code for an arithmetic expression error related to bug ID 26 from the Chart project.  Let me search for arithmetic expression errors in the code. The bug is described as being related to an arithmetic expression error.  Looking through the code, I can see various arithmetic operations. Let me focus on the `drawLabel` method which has several calculations involving coordinates and dimensions.  In the RIGHT edge case (around line 1080-1096), I see:  ```java float labelx = (float) (state.getCursor()                  + insets.getLeft() + w / 2.0); float labely = (float) (dataArea.getY() + dataArea.getHeight()          / 2.0); ```  The issue is in the `labely` calculation on line 1090-1091. The expression `dataArea.getY() + dataArea.getHeight() / 2.0` has an operator precedence problem. Due to operator precedence, division is performed before addition, so it calculates `dataArea.getY() + (dataArea.getHeight() / 2.0)`, which gives"
Chart,26,2,Axis.java,an arithmetic expression error,operator_swap,1062,1191,wrong,"LINE: 1062  REASON: The calculation for `labely` on the RIGHT edge uses division by 2.0 instead of multiplication, resulting in `dataArea.getY() + dataArea.getHeight() / 2.0` when it should be `dataArea.getY() + dataArea.getHeight() * / 2.0` to properly center the label vertically."
Chart,25,1,StatisticalBarRenderer.java,an arithmetic expression error,operator_swap,513,258,pattern_matched_clean,"LINE: 513 REASON: The arithmetic expression uses subtraction (`rectX + rectWidth / 2.0d - 5.0d`) when it should use addition (`rectX + rectWidth / 2.0d + 5.0d`) to correctly calculate the left endpoint of the error indicator cap line, causing asymmetric error bars in vertical orientation."
Chart,25,2,StatisticalBarRenderer.java,an arithmetic expression error,operator_swap,499,258,wrong,"LINE: 499  REASON: The arithmetic expression `rectX + rectWidth / 2.0d - 5.0d` should be `rectX + rectWidth / 2.0d` for the horizontal position of the error indicator cap lines, and the subtraction `- 5.0d` is incorrectly placed due to operator precedence, causing the cap lines to be positioned incorrectly; it should use parentheses as `(rectX + rectWidth / 2.0d) - 5.0d` or the division should be adjusted to match the intended cap width offset."
Chart,24,1,GrayPaintScale.java,an arithmetic expression error,operator_swap,121,126,pattern_matched_clean,"LINE: 121 REASON: The arithmetic expression is missing parentheses around the denominator calculation, causing incorrect operator precedence where the division by `lowerBound` occurs before subtracting `upperBound`."
Chart,24,2,GrayPaintScale.java,an arithmetic expression error,operator_swap,119,126,wrong,"LINE: 119 REASON: The calculation uses `value` instead of the clamped variable `v`, causing incorrect grayscale values when the input is outside the bounds."
Chart,23,1,MinMaxCategoryRenderer.java,an arithmetic expression error,operator_swap,446,434,pattern_matched_clean,"LINE: 446  REASON: The width and height calculations use `shape.getBounds().width` and `shape.getBounds().height` which return the bounding box dimensions, but these should be cast or calculated as integers, and more critically, the arithmetic for the icon dimensions appears incorrect for the shape bounds that may have negative coordinates (e.g., Arc2D(-4, -4, 8, 8) has bounds starting at -4, so the width calculation is wrong)."
Chart,23,2,MinMaxCategoryRenderer.java,an arithmetic expression error,operator_swap,453,434,wrong,"LINE: 453  REASON: The shape bounds width calculation is incorrect because `shape.getBounds().width` returns the width of the bounding rectangle, but for shapes like `Arc2D.Double(-4, -4, 8, 8, ...)` and `Line2D.Double(-4, 0, 4, 0)`, the actual drawable dimensions should be calculated as the difference between max and min coordinates (e.g., `4 - (-4) = 8` for width), not by using `getBounds().width` which may not account for the shape's actual extent properly, causing an arithmetic error in icon dimension calculations."
Chart,22,1,KeyedObjects2D.java,a boundary or range handling error,off_by_one,112,231,pattern_matched_clean,"LINE: 112  REASON: The method calls `rowData.getObject(columnKey)` but should call `rowData.getObject(index)` since `getObject()` in KeyedObjects expects an integer index, not a Comparable key."
Chart,22,2,KeyedObjects2D.java,a boundary or range handling error,off_by_one,227,231,correct,"LINE: 227  REASON: The condition `if (row >= 0)` is redundant and always true at this point because a previous check already throws an exception if `row < 0`, making the else branch unreachable and causing a boundary logic error."
Chart,21,1,DefaultBoxAndWhiskerCategoryDataset.java,a boundary or range handling error,off_by_one,815,156,pattern_matched_clean,"LINE: 815  REASON: The condition in `updateBounds()` uses `minv < this.minimumRangeValue` without checking if `this.minimumRangeValue` is NaN first, causing incorrect comparisons when the minimum value is NaN (the initial state)."
